category,headline,authors,link,short_description,date
CRIME,Dad Arrested In Death of 3-Year-Old Now Says She Choked On Milk,Nina Golgowski,https://www.huffingtonpost.com/entry/dad-changes-story-in-death-case_us_59ef8f1fe4b0b7e63265745b,"Police say Wesley Mathews confessed to moving his daughter's body, which was found in a culvert. He initially reported her as missing.",2017-10-24
CRIME,"Feds Escalate Charges Against Edgar Welch, Alleged 'Pizzagate' Shooter",Kim Bellware,https://www.huffingtonpost.com/entry/pizzagate-federal-charges_us_58502c44e4b0bd9c3dfef964,Federal investigators have tacked on two more charges since the initial indictment.,2016-12-13
CRIME,Teen Charged With Killing 8-Year-Old Maddy Middleton Was Nearby When Police Found Her Body,Michael McLaughlin,https://www.huffingtonpost.com/entry/maddy-middleton-killing_us_55b900d7e4b0a13f9d1b1cba,Police say the 15-year-old lived in the same apartment complex as the victim.,2015-07-29
CRIME,Texas Officer Gives Pot-Smoking Teen A Choice: Jail Or 200 Pushups,Chris D'Angelo,https://www.huffingtonpost.com/entry/texas-police-pushups-marijuana_us_586400c8e4b0eb586487daf5,"""We need more cops like this.""",2016-12-29
CRIME,"Realtor Who Vanished During Harvey Found Dead, Ex-Husband Arrested",David Lohr,https://www.huffingtonpost.com/entry/foul-play-suspected-in-case-of-realtor-who-vanished-amid-harvey_us_59b43c81e4b0b5e531068c5a,Crystal McDowell was last seen the day before the storm ravaged the area.,2017-09-09
CRIME,Conviction Stays For Man Who Killed Abortion Doctor,,https://www.huffingtonpost.com/entry/scott-roeder-kills-doctor_n_6049258.html,,2014-10-26
CRIME,Tale of the Trayvon Martin Case 911 Calls,"Michael Smerconish, Contributor
SiriusXM Radio Host & CNN Anchor",https://www.huffingtonpost.com/entry/tale-of-the-trayvon-marti_us_5ba2b97ee4b0c2784da50afc,"On at least one of the 911 calls logged by neighbors, a man is heard crying in distress just before the fatal gunshot is audible. Who was it, Zimmerman or Martin?",2012-03-25
CRIME,"Prosecutors Charge Cop With Rape, Assault Of 8 Women",Sebastian Murdock,https://www.huffingtonpost.com/entry/daniel-holtzclaw-cop-rape_n_5740714.html,,2014-08-30
CRIME,Police Officer Accused Of Posting Nude Photos Of Estranged Wife On Internet,,https://www.huffingtonpost.com/entry/dennis-adams-wife-nude-photos_us_5683fc63e4b0b958f65ae583,The officer allegedly wrote this his wife wanted to have sex with strangers.,2015-12-30
CRIME,"Don't Rush the Marijuana Breathalyzer Into ""Zero Tolerance"" States","Adam Banner, ContributorCriminal Defense Attorney",https://www.huffingtonpost.com/entry/introducingthe-marijuana-_b_6432988.html,"As a criminal defense lawyer, I've handled a few DUI cases in my time. Still, the last thing I want is to share the road with an impaired driver. DUI defense isn't about supporting drunk or drugged driving; it's about making sure the legal system runs correctly.",2015-01-21
CRIME,"Opium Soap, Meth-Filled Cheese: U.S. Customs' Strangest Border Busts",Michael McLaughlin,https://www.huffingtonpost.com/entry/top-10-busts-customs-and-border-protection_n_6391148.html,,2015-01-01
CRIME,Suspected Drunken Driver Smashes Into Helicopter,Ed Mazza,https://www.huffingtonpost.com/entry/alleged-drunk-driver-helicopter_us_580d920ae4b0a03911ed7190,"“You’ve got to be pretty drunk.""",2016-10-24
CRIME,Catholic Priest Convicted Of Sexually Assaulting Woman On Plane,Andres Jauregui,https://www.huffingtonpost.com/entry/marcelo-de-jesumaria-sexual-assault_n_7475254.html,,2015-05-30
CRIME,"Man Kills Ex, Her Grandma, For Not Naming Baby After Him: Cops",,https://www.huffingtonpost.com/entry/man-kills-ex-her-grandma-for-not-naming-baby-after-him-cops_us_55c20844e4b0d9b28f04d49d,PITTSBURGH (AP) -- Pittsburgh police say a man upset that his ex-girlfriend wouldn't name their newborn son after him fatally,2015-08-05
CRIME,"Doris Thompson, 82-Year-Old Career Criminal, Arrested Again For Burglary",,https://www.huffingtonpost.com/entry/doris-thompson-arrested-criminal_us_5ba2b41de4b0c2784da4acab,Doris Thompson's 20-page rap sheet dates back to 1955. The 82-year-old career criminal was arrested again late last month,2012-09-03
CRIME,NYPD Detective Caught On Video Allegedly Stealing Money During Raid,Ed Mazza,https://www.huffingtonpost.com/entry/ian-cyrus-raid-video_n_7038304.html,,2015-04-10
CRIME,'Glee' Star Naya Rivera Charged With Domestic Battery,Mary Papenfuss,https://www.huffingtonpost.com/entry/naya-rivera-domestic-battery_us_5a1b97c3e4b0d4906cafad2c,Husband Ryan Dorsey says she struck him on the lip and head.,2017-11-27
CRIME,2 Toddlers Injured When Bouncy House Flies Away,Ed Mazza,https://www.huffingtonpost.com/entry/bouncy-house-flies-away_n_5975372.html,,2014-10-13
CRIME,"Car Flips 4 Stories From Parking Garage, Driver Escapes Without Serious Injuries",Steven Hoffer,https://www.huffingtonpost.com/entry/baltimore-parking-garage-crash_us_56e8135de4b0860f99da4e73,The accident sheared off part of a streetlight.,2016-03-15
CRIME,'Incendiary Device' In Austin Injures Worker. Police Not Linking It To Package Bombs.,"Andy Campbell, Nick Visser, and Antonia Blumberg",https://www.huffingtonpost.com/entry/sixth-bomb-explosion-austin_us_5ab1a466e4b0decad045110c,"""There was no package explosion,"" police say.",2018-03-21
CRIME,Coroner Reclassifies A Man's Suspicious Death After HuffPost Investigates,David Lohr,https://www.huffingtonpost.com/entry/shawn-arthur-death-reclassified-louisiana_us_5ad8ebace4b03c426dac880c,An incarcerated woman said that she and her partner were involved in Shawn Arthur's death.,2018-04-20
CRIME,Charleston Church Shooter Dylann Roof Pleads Guilty To State Murder Charges,"Harriet McLeod, Reuters",https://www.huffingtonpost.com/entry/charleston-church-shooter-dylann-roof-pleads-guilty-to-state-murder-charges_us_58ebd401e4b0c89f91207102,Roof was charged in state court with murdering nine African-American parishioners as they closed their eyes in prayer at a Bible study session.,2017-04-10
CRIME,Relative Of Missing Texas Girl Taken Into Custody After Remains Found,Nina Golgowski,https://www.huffingtonpost.com/entry/possible-remains-of-kayla-gomez-orozco_us_581f2dbde4b0e80b02ca9bf0,"“He is the only suspect we have at this time,"" authorities said of Kayla Gomez-Orozco's family member.",2016-11-06
CRIME,There Have Been At Least 45 'Craigslist Killings' Since 2009: Report,Simon McCormack,https://www.huffingtonpost.com/entry/craigslist-killings_n_6064756.html,,2014-10-29
