category,headline,authors,link,short_description,date
CRIME,25 Years To Life For Man Who Killed Family In Crash,,https://www.huffingtonpost.com/entry/nyc-man-sentenced-to-25-y_n_7059478.html,,2015-04-14
CRIME,Ahmad Khan Rahami's Dad: I Reported My Son To The FBI Years Ago,Ryan Grenoble,https://www.huffingtonpost.com/entry/mohammad-rahami-son-fbi-terror-new-york-bomb_us_57e1575ee4b0071a6e09a132,"He later recanted the statement in which he called his son a terrorist, saying it was made in anger.",2016-09-20
CRIME,Cops Catch Burglary Suspects Passed Out In Car At Crime Scene,,https://www.huffingtonpost.com/entry/burglars-pass-out-car-marijuana-smoke_us_57aec23be4b069e7e5057c9b,Their SUV was reportedly packed full of loot stolen from a construction site.,2016-08-13
CRIME,"Unease Grows Between Mayor, NYPD",Simon McCormack,https://www.huffingtonpost.com/entry/nypd-nyc-mayor-relationship_n_5931526.html,,2014-10-04
CRIME,"Man Mailed Dead Skunks, Raccoon To Rival For Job, Police Say",,https://www.huffingtonpost.com/entry/travis-tarrants_us_57d9dacce4b0071a6e0554bd,"“It’s bizarre, its just hard to believe.”",2016-09-14
CRIME,Edits To Wikipedia Pages On Cop Killings Traced To NYPD Headquarters: Report,Simon McCormack,https://www.huffingtonpost.com/entry/wikipedia-edits-police-killings-nypd_n_6863542.html,,2015-03-13
CRIME,Why Hasn't Nancy Grace Been Fired?,"Larry Doyle, Contributor
Author, 'I Love You, Beth Cooper,' 'Go Mutants!' and 'Deliriou...",https://www.huffingtonpost.com/entry/nancy-grace_us_5ba2ae1ee4b0c2784da42d5b,"Poking her stink finger into another none-of-her-business, Nancy Grace managed to make the death of Whitney Houston somehow more tawdry.",2012-02-20
CRIME,Brother Of San Bernardino Shooter Among 3 Arrested By FBI,,https://www.huffingtonpost.com/entry/san-bernardino-fbi-arrests-3_us_57223e66e4b0b49df6aa7554,"The three were arrested on charges of federal conspiracy, marriage fraud and making false statements.",2016-04-28
CRIME,"Man Confesses To Killing Woman Who Didn't Want To Date Him, Police Say",Sebastian Murdock,https://www.huffingtonpost.com/entry/wisconsin-man-confesses-to-killing-woman_us_56b64050e4b04f9b57d9d6b4,"He told a detective it was ""easy"" to do.",2016-02-06
CRIME,5 Ways To Avoid Getting Arrested,Hilary Hanson,https://www.huffingtonpost.com/entry/5-ways-to-avoid-getting-arrested_n_5268646.html,,2014-05-05
CRIME,"Massachusetts Policeman Slain, Suspect Killed After Manhunt",,https://www.huffingtonpost.com/entry/massachusetts-police-slain_us_57425722e4b0613b512a9919,"May 22 (Reuters) - A central Massachusetts police officer was shot to death during a traffic stop early on Sunday, prompting",2016-05-23
CRIME,Dad Who Poisoned Children's Pizza Sentenced,Steven Hoffer,https://www.huffingtonpost.com/entry/leonardo-espinal_n_6909048.html,,2015-03-20
CRIME,Authorities In Sherri Papini Case Give Conflicting Statements On Alleged Abduction,David Lohr,https://www.huffingtonpost.com/entry/hoax-not-ruled-out-in-sherri-papinis-alleged-abduction_us_5841f882e4b0c68e0480eb9f,"A woman at the local sheriff's office said a hoax had not been ""ruled out,"" but the sheriff later said they believe the abduction was real.",2016-12-03
CRIME,3 People Shot In 1 Week By Toddlers Wielding Guns,Hilary Hanson,https://www.huffingtonpost.com/entry/accidental-toddler-shooting_n_6102762.html,,2014-11-04
CRIME,"Hui Gao, New Zealand's 'Accidental Millionaire' Sentenced To 5 Years In Prison (VIDEO)",,https://www.huffingtonpost.com/entry/hui-gao-new-zealands-accidental-millionaire-five-years-prison_us_5ba2ac85e4b0c2784da415bc,"""I'm f**king rich,"" Gao reportedly told Hurring at the time and later told the police he'd won the lottery. The Australian",2012-08-25
CRIME,"Woman Thrown Onto Subway Tracks After Being Groped By Stranger, Police Say",Nina Golgowski,https://www.huffingtonpost.com/entry/woman-groped-tossed-on-subway-tracks_us_58f4c111e4b0b9e9848cff29,"“It’s that nightmare every woman has in New York,"" the 22-year-old said of the attack.",2017-04-17
CRIME,Police Search For Boyfriend of Woman Found Dead Near Big Sur Car Wreck,Mary Papenfuss,https://www.huffingtonpost.com/entry/california-police-search-boyfriend-crash-big-sur_us_58704d7be4b043ad97e399df,Body of Olivia Gonzalez and the couple's two dogs were found by wreckage below Pacific Coast Highway.,2017-01-07
CRIME,Body Of 5-Year-Old Pennsylvania Boy With Autism Found In Canal,,https://www.huffingtonpost.com/entry/missing-boy-with-autism-body-found_us_5688789ee4b06fa688829641,The boy had wandered away barefoot and without a coat during a New Year's Eve party.,2016-01-03
CRIME,'Glee' Star Naya Rivera Charged With Domestic Battery,Mary Papenfuss,https://www.huffingtonpost.com/entry/naya-rivera-domestic-battery_us_5a1b97c3e4b0d4906cafad2c,Husband Ryan Dorsey says she struck him on the lip and head.,2017-11-27
CRIME,Man Missing After Explosion Was Saving Up To Return To Home Country,Hilary Hanson,https://www.huffingtonpost.com/entry/moises-locon-east-village-explosion-missing_n_6962578.html,,2015-03-29
CRIME,What It Takes To Convict A Killer Cop,Simon McCormack,https://www.huffingtonpost.com/entry/what-it-takes-to-get-cop-convicted_n_6153444.html,,2014-11-25
CRIME,Texas To Execute Man For Murdering Boy And Drinking His Blood,,https://www.huffingtonpost.com/entry/texas-to-execute-boy-killer_us_57053c7ee4b0a506064dded5,"Pablo Vasquez, 38, will be put to death by lethal injection for the 12-year-old boy's gruesome killing.",2016-04-06
CRIME,"UCLA Shooter Had 'Kill List,' Left Another Victim: Police",,https://www.huffingtonpost.com/entry/ucla-professor-shooting_us_57504603e4b0eb20fa0ce65a,Investigators found the list while searching the crime scene in a small office in an engineering building on the UCLA campus.,2016-06-02
CRIME,"WATCH 'Too Drunk' Passenger Punch Uber Driver, Get Maced",Ron Dicker,https://www.huffingtonpost.com/entry/passenger-punches-uber-driver-maced_us_563781a3e4b00aa54a4ec144,"""Trip's ended.""",2015-11-02
CRIME,Quee Chadwick's Body Positively Identified After Being Found In San Diego County Dumpster,David Moye,https://www.huffingtonpost.com/entry/quee-chadwicks-body-identified_us_5ba2aca4e4b0c2784da4197b,"For background on the story, view the report by KABC-TV featured above. Another source threw water on that alibi, telling",2012-10-20
CRIME,ANOTHER Child Dies After Being Left In Car,Simon McCormack,https://www.huffingtonpost.com/entry/child-left-in-car-connect_n_5568692.html,,2014-07-08
CRIME,When You're the Witness With the Secret Video,"Joel Cohen, ContributorCriminal defense lawyer",https://www.huffingtonpost.com/entry/when-youre-the-witness-wi_b_7100094.html,"If you find yourself in the challenging position of having made such a recording, whatever you do, don't go it alone.  Ideally, find that lawyer or advocate you can trust.  If that is not realistic, find a person who recognizes that you will deliver the video, but who has your best interests at heart.",2015-04-23
CRIME,Ahmad Khan Rahami Identified As Suspect In Manhattan Explosion,"Kim Bellware, Andy Campbell, and Irina Ivanova",https://www.huffingtonpost.com/entry/explosion-chelsea-manhattan_us_57ddea74e4b04a1497b4ed5f,Several people were detained late Sunday in connection with the bomb.,2016-09-18
CRIME,Texas Sheriff's Deputy Killed In Ambush At Gas Station,,https://www.huffingtonpost.com/entry/texas-sheriffs-deputy-killed-in-ambush-at-gas-station_us_55e1354fe4b0c818f6181672,The deputy was shot multiple times in an apparent ambush while pumping gas.,2015-08-29
CRIME,Outrage And Sorrow After Teen Shot Dead By Police,Andrew Hart,https://www.huffingtonpost.com/entry/ferguson-teen-police-shooting_n_5665305.html,,2014-08-10
CRIME,Ohio Death Row Inmate Receives Pillow To Help Him Breathe During Execution,"Hannah Riley, Guest WriterGuest Writer",https://www.huffingtonpost.com/entry/ohio-death-row-inmate-receives-pillow-to-help-him-breathe_us_5a0b0f58e4b060fb7e59d3cc,"Alva Campbell Jr. is sick. He is going to die very soon, but not of natural causes. Tomorrow morning, he will shuffle down",2017-11-14
